Ann ee,situation,Genre,Secteur disciplinaire,Part des diplôm es boursiers dans la discipline
2013,18 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,24
2017,18 mois après le diplôme,hommes,Ensemble formations juridiques   economiques et de gestion,24
2013,30 mois après le diplôme,femmes et hommes,Ensemble formations juridiques   economiques et de gestion,24
2017,18 mois après le diplôme,femmes,Ensemble formations juridiques   economiques et de gestion,27
2018,18 mois après le diplôme,hommes,Sciences juridiques,28
2016,30 mois après le diplôme,femmes et hommes,Sciences juridiques,28
2015,18 mois après le diplôme,femmes et hommes,Sciences juridiques,29
2017,30 mois après le diplôme,femmes et hommes,Sciences juridiques,30
2018,30 mois après le diplôme,hommes,Sciences juridiques,28
2017,18 mois après le diplôme,femmes et hommes,Sciences juridiques,30
2013,30 mois après le diplôme,femmes et hommes,Sciences juridiques,27
2013,18 mois après le diplôme,femmes,Sciences juridiques,28
2016,30 mois après le diplôme,femmes et hommes,Sciences politiques,32
2016,30 mois après le diplôme,hommes,Sciences politiques,30
2015,30 mois après le diplôme,femmes,Sciences politiques,33
2013,30 mois après le diplôme,hommes,Sciences politiques,31
2018,18 mois après le diplôme,femmes,Sciences  economiques,30
2014,30 mois après le diplôme,femmes et hommes,Sciences  economiques,30
2014,18 mois après le diplôme,hommes,Sciences  economiques,29
2015,18 mois après le diplôme,hommes,Sciences  economiques,28
2013,18 mois après le diplôme,femmes,Sciences  economiques,30
2017,18 mois après le diplôme,hommes,Sciences  economiques,29
2018,18 mois après le diplôme,femmes,Sciences de gestion,22
2016,18 mois après le diplôme,hommes,Sciences de gestion,20
2014,18 mois après le diplôme,hommes,Sciences de gestion,20
2017,18 mois après le diplôme,femmes et hommes,Sciences de gestion,22
2012,30 mois après le diplôme,femmes et hommes,Sciences de gestion,22
2017,30 mois après le diplôme,femmes,Sciences de gestion,22
2013,18 mois après le diplôme,hommes,Sciences de gestion,21
2013,30 mois après le diplôme,femmes,Sciences de gestion,22
2018,18 mois après le diplôme,hommes,Administration  economique et sociale,23
2015,30 mois après le diplôme,hommes,Administration  economique et sociale,31
2016,18 mois après le diplôme,femmes,Administration  economique et sociale,33
2015,18 mois après le diplôme,hommes,Administration  economique et sociale,31
2017,30 mois après le diplôme,femmes,Administration  economique et sociale,28
2018,30 mois après le diplôme,hommes,Administration  economique et sociale,23
2013,30 mois après le diplôme,femmes et hommes,Administration  economique et sociale,38
2016,18 mois après le diplôme,hommes,Pluridisciplinaire droit  sciences politiques,35
2013,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences politiques,18
2016,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences  economiques et de gestion  AES,39
2014,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,21
2014,30 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,18
2018,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,38
2018,18 mois après le diplôme,hommes,Pluridisciplinaire sciences  economiques et gestion,37
2016,30 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,23
2017,30 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,25
2013,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,19
2013,18 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,18
2018,30 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,43
2018,18 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,42
2014,18 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,39
2016,18 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,40
2015,18 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,37
2015,18 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,39
2016,30 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,37
2017,18 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,43
2017,30 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,42
2012,30 mois après le diplôme,femmes et hommes,Ensemble Lettres  langues  arts,34
2017,18 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,44
2013,18 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,36
2014,30 mois après le diplôme,femmes et hommes,Arts,37
2014,18 mois après le diplôme,femmes,Arts,38
2016,18 mois après le diplôme,femmes,Arts,39
2015,18 mois après le diplôme,femmes,Arts,35
2011,30 mois après le diplôme,femmes et hommes,Arts,29
2018,30 mois après le diplôme,hommes,Arts,45
2017,30 mois après le diplôme,femmes et hommes,Arts,42
2011,30 mois après le diplôme,femmes et hommes,Cultures et langues r egionales,29
2016,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire droit  sciences  economiques et de gestion  AES,39
2016,30 mois après le diplôme,hommes,Pluridisciplinaire droit  sciences  economiques et de gestion  AES,26
2018,30 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,39
2014,18 mois après le diplôme,femmes,Français  langue  etrangère,19
2016,18 mois après le diplôme,femmes,Français  langue  etrangère,30
2012,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,27
2018,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,38
2012,30 mois après le diplôme,femmes et hommes,Français  langue  etrangère,31
2015,30 mois après le diplôme,femmes,Pluridisciplinaire sciences  economiques et gestion,25
2017,18 mois après le diplôme,femmes,Français  langue  etrangère,40
2012,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences  economiques et gestion,27
2013,18 mois après le diplôme,femmes,Français  langue  etrangère,32
2014,30 mois après le diplôme,femmes,Ensemble Lettres  langues  arts,39
2014,30 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,36
2016,18 mois après le diplôme,femmes,Langues et litt eratures  etrangères,41
2016,30 mois après le diplôme,hommes,Langues et litt eratures  etrangères,37
2017,18 mois après le diplôme,hommes,Ensemble Lettres  langues  arts,42
2015,18 mois après le diplôme,femmes,Langues et litt eratures  etrangères,41
2017,30 mois après le diplôme,hommes,Langues et litt eratures  etrangères,38
2014,30 mois après le diplôme,femmes,Arts,38
2013,30 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,38
2014,18 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,32
2017,18 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,42
2012,30 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,38
2015,18 mois après le diplôme,hommes,Arts,36
2013,18 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,40
2017,18 mois après le diplôme,femmes,Langues et litt eratures françaises,44
2016,30 mois après le diplôme,femmes et hommes,Arts,38
2014,30 mois après le diplôme,hommes,Langues  etrangères appliqu ees,48
2016,30 mois après le diplôme,femmes,Arts,39
2016,18 mois après le diplôme,femmes,Langues  etrangères appliqu ees,45
2017,30 mois après le diplôme,femmes,Arts,42
2015,18 mois après le diplôme,hommes,Langues  etrangères appliqu ees,42
2012,18 mois après le diplôme,femmes et hommes,Arts,33
2017,30 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,47
2017,30 mois après le diplôme,hommes,Langues  etrangères appliqu ees,44
2013,18 mois après le diplôme,femmes,Arts,32
2015,30 mois après le diplôme,femmes,Langues  etrangères appliqu ees,45
2013,18 mois après le diplôme,hommes,Langues  etrangères appliqu ees,46
2014,18 mois après le diplôme,femmes et hommes,Litt erature g en erale et compar ee,47
2012,18 mois après le diplôme,femmes et hommes,Litt erature g en erale et compar ee,36
2013,30 mois après le diplôme,femmes et hommes,Litt erature g en erale et compar ee,30
2014,18 mois après le diplôme,femmes,Sciences du langage  linguistique,33
2018,30 mois après le diplôme,femmes,Sciences du langage  linguistique,38
2018,18 mois après le diplôme,femmes,Sciences du langage  linguistique,38
2018,18 mois après le diplôme,hommes,Sciences du langage  linguistique,20
2015,30 mois après le diplôme,hommes,Sciences du langage  linguistique,22
2015,18 mois après le diplôme,hommes,Sciences du langage  linguistique,22
2017,18 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,42
2018,30 mois après le diplôme,hommes,Sciences du langage  linguistique,20
2013,30 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,33
2018,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,34
2014,30 mois après le diplôme,femmes,Pluridisciplinaire langues,35
2016,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,36
2015,30 mois après le diplôme,femmes,Pluridisciplinaire langues,32
2017,30 mois après le diplôme,femmes,Pluridisciplinaire langues,35
2012,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,18
2013,30 mois après le diplôme,femmes,Pluridisciplinaire langues,26
2017,18 mois après le diplôme,femmes,Pluridisciplinaire langues,35
2013,18 mois après le diplôme,femmes,Pluridisciplinaire langues,26
2018,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  langues  sciences humaines,45
2014,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,43
2014,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,43
2014,30 mois après le diplôme,hommes,Pluridisciplinaire lettres  sciences du langage  arts,45
2018,18 mois après le diplôme,hommes,Pluridisciplinaire lettres  sciences du langage  arts,24
2014,30 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,42
2016,30 mois après le diplôme,hommes,Pluridisciplinaire lettres  sciences du langage  arts,44
2015,30 mois après le diplôme,hommes,Pluridisciplinaire lettres  sciences du langage  arts,40
2012,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,22
2016,30 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,40
2016,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,41
2013,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,26
2017,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,46
2014,30 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,33
2016,18 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,35
2016,18 mois après le diplôme,femmes,Ensemble sciences humaines et sociales,37
2012,30 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,32
2012,18 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,32
2013,30 mois après le diplôme,femmes,Ensemble sciences humaines et sociales,32
2014,18 mois après le diplôme,femmes et hommes,Français  langue  etrangère,22
2018,18 mois après le diplôme,femmes et hommes,Français  langue  etrangère,37
2018,18 mois après le diplôme,femmes,Français  langue  etrangère,38
2015,30 mois après le diplôme,femmes et hommes,Français  langue  etrangère,23
2015,18 mois après le diplôme,femmes,Français  langue  etrangère,24
2011,30 mois après le diplôme,femmes et hommes,Français  langue  etrangère,29
2018,30 mois après le diplôme,femmes,Langues et litt eratures  etrangères,47
2014,30 mois après le diplôme,hommes,Langues et litt eratures  etrangères,33
2018,18 mois après le diplôme,hommes,Langues et litt eratures  etrangères,39
2015,30 mois après le diplôme,hommes,Langues et litt eratures  etrangères,42
2012,18 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,35
2018,30 mois après le diplôme,hommes,Langues et litt eratures  etrangères,39
2016,30 mois après le diplôme,femmes,Langues et litt eratures  etrangères,41
2013,18 mois après le diplôme,femmes et hommes,Langues et litt eratures  etrangères,38
2013,30 mois après le diplôme,hommes,Langues et litt eratures  etrangères,40
2017,18 mois après le diplôme,hommes,Langues et litt eratures  etrangères,38
2014,30 mois après le diplôme,femmes,Langues et litt eratures françaises,32
2018,18 mois après le diplôme,femmes,Langues et litt eratures françaises,42
2016,30 mois après le diplôme,hommes,Langues et litt eratures françaises,31
2015,18 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,37
2016,30 mois après le diplôme,femmes,Langues et litt eratures françaises,42
2017,30 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,42
2012,18 mois après le diplôme,femmes et hommes,Langues et litt eratures françaises,38
2013,18 mois après le diplôme,femmes,Langues et litt eratures françaises,41
2018,30 mois après le diplôme,femmes,Langues  etrangères appliqu ees,48
2014,18 mois après le diplôme,femmes,Langues  etrangères appliqu ees,48
2015,18 mois après le diplôme,femmes,Langues  etrangères appliqu ees,45
2016,30 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,43
2017,18 mois après le diplôme,femmes,Langues  etrangères appliqu ees,48
2018,30 mois après le diplôme,femmes et hommes,Langues  etrangères appliqu ees,45
2014,30 mois après le diplôme,femmes,Litt erature g en erale et compar ee,39
2012,30 mois après le diplôme,femmes et hommes,Litt erature g en erale et compar ee,36
2013,18 mois après le diplôme,femmes et hommes,Litt erature g en erale et compar ee,30
2014,18 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,35
2018,18 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,35
2014,30 mois après le diplôme,femmes,Sciences du langage  linguistique,33
2016,18 mois après le diplôme,hommes,Sciences du langage  linguistique,37
2015,18 mois après le diplôme,femmes,Sciences du langage  linguistique,42
2017,30 mois après le diplôme,femmes et hommes,Sciences du langage  linguistique,42
2014,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,35
2014,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,35
2015,18 mois après le diplôme,femmes,Pluridisciplinaire langues,32
2011,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire langues,29
2018,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,44
2018,30 mois après le diplôme,femmes,Pluridisciplinaire lettres  langues  sciences humaines,45
2014,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  langues  sciences humaines,40
2014,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,43
2017,30 mois après le diplôme,hommes,Pluridisciplinaire lettres  langues  sciences humaines,43
2012,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,46
2017,30 mois après le diplôme,femmes,Pluridisciplinaire lettres  langues  sciences humaines,39
2013,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  langues  sciences humaines,36
2017,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  langues  sciences humaines,39
2018,18 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,35
2016,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,41
2015,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,41
2017,30 mois après le diplôme,femmes,Pluridisciplinaire lettres  sciences du langage  arts,46
2018,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire lettres  sciences du langage  arts,33
2018,18 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,34
2014,18 mois après le diplôme,femmes,Ensemble sciences humaines et sociales,34
2016,30 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,32
2015,18 mois après le diplôme,femmes,Ensemble sciences humaines et sociales,35
2017,30 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,35
2015,30 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,35
2013,30 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,27
2013,18 mois après le diplôme,hommes,Ensemble sciences humaines et sociales,27
2013,18 mois après le diplôme,femmes et hommes,Ensemble sciences humaines et sociales,31
2016,18 mois après le diplôme,femmes et hommes,Histoire-g eographie,39
2017,18 mois après le diplôme,femmes et hommes,Histoire-g eographie,38
2017,30 mois après le diplôme,femmes,Histoire,43
2012,18 mois après le diplôme,femmes et hommes,Histoire,36
2013,30 mois après le diplôme,femmes,Histoire,40
2017,18 mois après le diplôme,femmes,Histoire,43
2016,30 mois après le diplôme,femmes,G eographie,36
2012,18 mois après le diplôme,femmes et hommes,G eographie,33
2018,18 mois après le diplôme,femmes,Psychologie,43
2014,30 mois après le diplôme,hommes,Psychologie,30
2016,18 mois après le diplôme,hommes,Psychologie,39
2013,30 mois après le diplôme,femmes et hommes,Psychologie,31
2017,18 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,35
2013,18 mois après le diplôme,femmes,Sciences de l'information et la communication,30
2018,30 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,35
2014,30 mois après le diplôme,femmes et hommes,Autres sciences humaines et sociales,32
2015,18 mois après le diplôme,femmes et hommes,Autres sciences humaines et sociales,36
2015,30 mois après le diplôme,femmes et hommes,Autres sciences humaines et sociales,36
2018,30 mois après le diplôme,hommes,Autres sciences humaines et sociales,31
2014,18 mois après le diplôme,femmes et hommes,Am enagement,32
2018,18 mois après le diplôme,hommes,Am enagement,29
2016,18 mois après le diplôme,femmes,Am enagement,36
2013,30 mois après le diplôme,hommes,Am enagement,26
2017,18 mois après le diplôme,femmes,Am enagement,35
2018,18 mois après le diplôme,femmes,Arch eologie  ethnologie  pr ehistoire,38
2018,18 mois après le diplôme,hommes,Arch eologie  ethnologie  pr ehistoire,45
2016,18 mois après le diplôme,femmes,Arch eologie  ethnologie  pr ehistoire,47
2013,18 mois après le diplôme,femmes et hommes,Arch eologie  ethnologie  pr ehistoire,36
2014,18 mois après le diplôme,femmes et hommes,Philosophie   epist emologie,30
2014,30 mois après le diplôme,femmes,Sciences de l' education,29
2014,30 mois après le diplôme,hommes,Sociologie  d emographie,28
2014,18 mois après le diplôme,femmes,Sociologie  d emographie,36
2014,18 mois après le diplôme,femmes et hommes,Sociologie  d emographie,33
2014,18 mois après le diplôme,hommes,Sociologie  d emographie,28
2017,30 mois après le diplôme,femmes,Sociologie  d emographie,35
2013,18 mois après le diplôme,femmes,Sociologie  d emographie,31
2018,30 mois après le diplôme,femmes et hommes,Sociologie  d emographie,44
2016,18 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,37
2016,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,33
2015,30 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,34
2015,18 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,38
2015,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,38
2014,18 mois après le diplôme,femmes et hommes,Histoire-g eographie,38
2016,30 mois après le diplôme,femmes et hommes,Histoire-g eographie,39
2013,30 mois après le diplôme,femmes et hommes,Histoire-g eographie,33
2014,30 mois après le diplôme,femmes,Histoire,37
2018,18 mois après le diplôme,hommes,Histoire,36
2015,30 mois après le diplôme,hommes,Histoire,36
2016,18 mois après le diplôme,femmes et hommes,Histoire,43
2017,18 mois après le diplôme,femmes et hommes,Histoire,41
2017,18 mois après le diplôme,hommes,Histoire,36
2018,30 mois après le diplôme,femmes,G eographie,38
2016,18 mois après le diplôme,femmes et hommes,G eographie,35
2015,18 mois après le diplôme,femmes,G eographie,32
2015,18 mois après le diplôme,femmes et hommes,G eographie,33
2012,30 mois après le diplôme,femmes et hommes,G eographie,33
2013,30 mois après le diplôme,hommes,G eographie,26
2018,30 mois après le diplôme,femmes,Psychologie,43
2016,30 mois après le diplôme,femmes,Psychologie,38
2017,30 mois après le diplôme,femmes et hommes,Psychologie,38
2013,18 mois après le diplôme,femmes et hommes,Sciences de l'information et la communication,29
2016,18 mois après le diplôme,femmes et hommes,Autres sciences humaines et sociales,35
2017,18 mois après le diplôme,femmes et hommes,Autres sciences humaines et sociales,36
2014,18 mois après le diplôme,femmes,Am enagement,35
2018,30 mois après le diplôme,hommes,Am enagement,29
2017,30 mois après le diplôme,femmes,Am enagement,35
2017,18 mois après le diplôme,hommes,Am enagement,30
2013,18 mois après le diplôme,femmes,Am enagement,32
2016,30 mois après le diplôme,hommes,Arch eologie  ethnologie  pr ehistoire,25
2016,18 mois après le diplôme,femmes et hommes,Arch eologie  ethnologie  pr ehistoire,41
2014,18 mois après le diplôme,hommes,Arch eologie  ethnologie  pr ehistoire,20
2016,30 mois après le diplôme,femmes et hommes,Arch eologie  ethnologie  pr ehistoire,41
2013,30 mois après le diplôme,femmes et hommes,Arch eologie  ethnologie  pr ehistoire,36
2018,18 mois après le diplôme,femmes et hommes,Philosophie   epist emologie,34
2014,30 mois après le diplôme,femmes,Philosophie   epist emologie,23
2018,18 mois après le diplôme,hommes,Philosophie   epist emologie,47
2016,18 mois après le diplôme,femmes,Philosophie   epist emologie,26
2013,30 mois après le diplôme,femmes,Philosophie   epist emologie,33
2018,30 mois après le diplôme,femmes et hommes,Philosophie   epist emologie,34
2018,18 mois après le diplôme,femmes,Sciences de l' education,35
2014,18 mois après le diplôme,femmes,Sciences de l' education,29
2016,18 mois après le diplôme,femmes,Sciences de l' education,36
2017,18 mois après le diplôme,hommes,Sciences de l' education,19
2017,18 mois après le diplôme,femmes,Sciences de l' education,41
2014,30 mois après le diplôme,femmes,Sociologie  d emographie,36
2016,18 mois après le diplôme,femmes,Sociologie  d emographie,39
2015,18 mois après le diplôme,femmes,Sociologie  d emographie,36
2011,30 mois après le diplôme,femmes et hommes,Sociologie  d emographie,29
2015,30 mois après le diplôme,femmes,Sociologie  d emographie,36
2018,30 mois après le diplôme,hommes,Sociologie  d emographie,39
2012,18 mois après le diplôme,femmes et hommes,Sociologie  d emographie,32
2017,30 mois après le diplôme,hommes,Sociologie  d emographie,32
2013,18 mois après le diplôme,femmes et hommes,Sociologie  d emographie,31
2014,30 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,28
2014,30 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,39
2015,18 mois après le diplôme,femmes,Pluridisciplinaire sciences humaines et sociales,39
2015,18 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,34
2018,30 mois après le diplôme,hommes,Pluridisciplinaire sciences humaines et sociales,23
2012,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,34
2013,30 mois après le diplôme,femmes et hommes,Pluridisciplinaire sciences humaines et sociales,32
2014,30 mois après le diplôme,hommes,Ensemble sciences  technologies et sant e,31
2015,30 mois après le diplôme,hommes,Ensemble sciences  technologies et sant e,31
2011,30 mois après le diplôme,femmes et hommes,G enie civil,29
2016,30 mois après le diplôme,femmes,G enie civil,32
2017,30 mois après le diplôme,femmes,G enie civil,31
2013,30 mois après le diplôme,femmes,G enie civil,46
2013,18 mois après le diplôme,femmes et hommes,G enie civil,32
2013,30 mois après le diplôme,femmes et hommes,G enie civil,32
2018,30 mois après le diplôme,hommes,G enie civil,32
2018,30 mois après le diplôme,femmes et hommes,G enie des proc ed es,33
2014,18 mois après le diplôme,femmes,G enie des proc ed es,31
2018,18 mois après le diplôme,femmes,G enie des proc ed es,52
2016,18 mois après le diplôme,femmes et hommes,G enie des proc ed es,27
2015,30 mois après le diplôme,hommes,G enie des proc ed es,32
2015,18 mois après le diplôme,femmes,G enie des proc ed es,27
2016,30 mois après le diplôme,femmes,G enie des proc ed es,24
2017,18 mois après le diplôme,femmes et hommes,G enie des proc ed es,28
2013,18 mois après le diplôme,femmes,G enie des proc ed es,34
2013,30 mois après le diplôme,femmes et hommes,G enie des proc ed es,28
2018,30 mois après le diplôme,hommes,G enie des proc ed es,27
2018,18 mois après le diplôme,hommes,M ecanique  g enie m ecanique,27
2016,18 mois après le diplôme,hommes,M ecanique  g enie m ecanique,29
2015,18 mois après le diplôme,femmes,M ecanique  g enie m ecanique,28
2015,18 mois après le diplôme,hommes,M ecanique  g enie m ecanique,28
2017,30 mois après le diplôme,femmes et hommes,M ecanique  g enie m ecanique,34
2018,30 mois après le diplôme,hommes,M ecanique  g enie m ecanique,27
2013,30 mois après le diplôme,hommes,M ecanique  g enie m ecanique,29
2013,18 mois après le diplôme,hommes,M ecanique  g enie m ecanique,29
2018,18 mois après le diplôme,femmes,Technologie et sciences industrielles,21
2014,30 mois après le diplôme,hommes,Technologie et sciences industrielles,21
2016,18 mois après le diplôme,hommes,Technologie et sciences industrielles,17
2015,30 mois après le diplôme,hommes,Technologie et sciences industrielles,22
2015,18 mois après le diplôme,hommes,Technologie et sciences industrielles,22
2011,30 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,29
2015,30 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,21
2012,30 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,17
2018,30 mois après le diplôme,hommes,Technologie et sciences industrielles,18
2013,30 mois après le diplôme,femmes et hommes,Technologie et sciences industrielles,18
2017,18 mois après le diplôme,femmes,Technologie et sciences industrielles,18
2014,30 mois après le diplôme,femmes,Informatique,37
2018,18 mois après le diplôme,femmes,Informatique,37
2018,18 mois après le diplôme,femmes et hommes,Informatique,31
2015,18 mois après le diplôme,femmes et hommes,Informatique,34
2016,30 mois après le diplôme,femmes et hommes,Informatique,30
2012,30 mois après le diplôme,femmes et hommes,Informatique,30
2017,30 mois après le diplôme,femmes et hommes,Informatique,33
2016,30 mois après le diplôme,femmes,Informatique,26
2017,18 mois après le diplôme,hommes,Informatique,33
2013,30 mois après le diplôme,femmes,Informatique,38
2013,30 mois après le diplôme,femmes et hommes,Informatique,31
2018,18 mois après le diplôme,femmes et hommes,Autres sciences  technologies et sant e,34
2016,18 mois après le diplôme,femmes et hommes,Autres sciences  technologies et sant e,32
2018,30 mois après le diplôme,hommes,Autres sciences  technologies et sant e,33
2018,30 mois après le diplôme,femmes,Autres sciences  technologies et sant e,36
2014,18 mois après le diplôme,femmes et hommes,Formation g en erale aux m etiers de l'ing enieur,38
2014,18 mois après le diplôme,hommes,Formation g en erale aux m etiers de l'ing enieur,37
2015,30 mois après le diplôme,femmes et hommes,Formation g en erale aux m etiers de l'ing enieur,34
2017,30 mois après le diplôme,femmes et hommes,Formation g en erale aux m etiers de l'ing enieur,30
2016,30 mois après le diplôme,hommes,Math ematique et informatique,20
2015,30 mois après le diplôme,femmes et hommes,Math ematique et informatique,16
2012,30 mois après le diplôme,femmes et hommes,Math ematique et informatique,26
2015,30 mois après le diplôme,femmes,G enie civil,34
2017,30 mois après le diplôme,femmes et hommes,G enie civil,36
2013,30 mois après le diplôme,hommes,Math ematique et informatique,17
2017,18 mois après le diplôme,femmes,G enie civil,31
2018,18 mois après le diplôme,femmes et hommes,M edecine,38
2014,18 mois après le diplôme,femmes et hommes,G enie des proc ed es,30
2014,18 mois après le diplôme,femmes,M edecine,31
2014,30 mois après le diplôme,femmes et hommes,G enie des proc ed es,30
2018,18 mois après le diplôme,hommes,M edecine,26
2018,18 mois après le diplôme,hommes,G enie des proc ed es,27
2016,18 mois après le diplôme,femmes et hommes,M edecine,30
2014,30 mois après le diplôme,hommes,G enie des proc ed es,29
2015,18 mois après le diplôme,hommes,M edecine,20
2016,30 mois après le diplôme,hommes,G enie des proc ed es,29
2012,18 mois après le diplôme,femmes et hommes,M edecine,23
2015,18 mois après le diplôme,femmes et hommes,G enie des proc ed es,31
2013,30 mois après le diplôme,femmes,M edecine,28
2015,18 mois après le diplôme,hommes,G enie des proc ed es,32
2017,18 mois après le diplôme,hommes,M edecine,27
2016,30 mois après le diplôme,femmes et hommes,G enie des proc ed es,27
2013,18 mois après le diplôme,hommes,M edecine,22
2014,30 mois après le diplôme,femmes et hommes,Pharmacie,28
2017,18 mois après le diplôme,femmes,G enie des proc ed es,36
2014,30 mois après le diplôme,hommes,M ecanique  g enie m ecanique,29
2012,18 mois après le diplôme,femmes et hommes,Pharmacie,26
2015,30 mois après le diplôme,femmes et hommes,Pharmacie,23
2015,30 mois après le diplôme,femmes,M ecanique  g enie m ecanique,28
2015,30 mois après le diplôme,femmes,Pharmacie,24
2018,30 mois après le diplôme,femmes,M ecanique  g enie m ecanique,32
2016,30 mois après le diplôme,femmes et hommes,Pharmacie,34
